# Simulation 1 (Up to date)
# 256 data points written for 10 variables.
# Simulation warnings:
#   Stage began to tumble under thrust.
#   Large angle of attack encountered (28.3).
#
# Total velocity (m/s),Angle of attack (°),Pitch rate (°/s),CP location (cm),CG location (cm),Normal force coefficient (?),Pitch moment coefficient (?),Pitch damping coefficient (?),Reference length (cm),Reference area (cm²)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
16.691,91.443,-222.83,45.784,54.507,15.351,-9.0384,-8.5342,7.62,45.604
16.646,93.675,-225.58,45.746,54.504,15.216,-8.6862,-8.8028,7.62,45.604
16.602,95.96,-228.18,45.703,54.502,15.044,-8.3132,-9.0594,7.62,45.604
16.557,98.295,-230.61,45.653,54.5,14.831,-7.9148,-9.3041,7.62,45.604
16.513,100.66,-232.88,45.594,54.497,14.574,-7.488,-9.5399,7.62,45.604
16.47,103.04,-235,45.526,54.495,14.272,-7.0325,-9.7655,7.62,45.604
16.428,105.56,-236.95,45.456,54.492,13.94,-6.5721,-9.9588,7.62,45.604
16.387,108.15,-238.74,45.378,54.49,13.564,-6.0875,-10.133,7.62,45.604
16.348,110.76,-240.38,45.287,54.488,13.141,-5.5719,-10.294,7.62,45.604
16.311,113.39,-241.86,45.183,54.485,12.673,-5.0289,-10.442,7.62,45.604
16.276,115.98,-243.17,45.061,54.483,12.163,-4.4531,-10.586,7.62,45.604
16.243,118.57,-244.31,44.924,54.481,11.62,-3.8561,-10.718,7.62,45.604
16.213,121.18,-245.28,44.77,54.479,11.047,-3.2438,-10.832,7.62,45.604
16.186,123.8,-246.07,44.598,54.476,10.448,-2.6167,-10.928,7.62,45.604
16.162,126.44,-246.69,44.407,54.474,9.8267,-1.9795,-11.004,7.62,45.604
16.14,129.1,-247.13,44.193,54.472,9.1872,-1.333,-11.06,7.62,45.604
16.12,131.78,-247.4,43.953,54.47,8.5346,-0.68138,-11.097,7.62,45.604
16.103,134.46,-247.49,43.684,54.467,7.8737,-0.027023,-11.116,7.62,45.604
16.089,137.13,-247.41,43.38,54.465,7.2118,0.6275,-11.118,7.62,45.604
16.077,139.8,-247.16,43.039,54.463,6.5538,1.2779,-11.104,7.62,45.604
16.066,142.47,-246.73,42.651,54.461,5.9029,1.9239,-11.072,7.62,45.604
16.058,145.15,-246.14,42.21,54.458,5.264,2.5603,-11.022,7.62,45.604
16.051,147.96,-245.37,41.694,54.456,4.6202,3.1947,-10.932,7.62,45.604
16.045,150.92,-244.42,41.074,54.454,3.9717,3.8267,-10.8,7.62,45.604
